,Excel Q#,Dimensions,Constructs,ExcelQuestion,OECD match (Annex C Q#),Annex E table(s),Match,How to use the report to answer
16,5_1,Organisation and processes,AI Governance and Structure:,"AI-related roles, responsibilities, and governance structures are clearly defined within our organization",Q10 (reluctance of staff; retraining difficulty),E.12,Direct,Change management is captured via staff reluctance and retraining obstacles.
17,5_2,Organisation and processes,Process Integration and Optimization,"AI is effectively integrated into core business processes, streamlining workflows and improving operational efficiency",Q1 (importance to core processes),E.1,Direct,Directly maps to E.1 ‘critical to core processes’.
18,5_3,Organisation and processes,Change Management,"Our organization has different change management approaches for different groups of employees, including white and blue collar workers",— (decision‑support not isolated),—,No direct,Decision support isn’t an isolated construct; for usage by function see predictive margins by application (Annex F/G).
19,5_4,Organisation and processes,AI-Driven Decision Optimization,AI enhances decision-making in our organization by providing real-time insights and optimizing business decisions,—,—,No direct,Experimentation isn’t asked; you may proxy with R&D on AI (E.23) and ‘purchase vs build’ practices (E.9).
20,5_5,,,,—,—,No direct,Customer‑value orientation isn’t asked; Q17 includes transparency/privacy criteria rather than value creation.
21,6_3,Innovation,Speed of Implementation,Our organization moves from AI concepts to implementation quickly,—,—,No direct,Speed/time‑to‑implement not asked; triangulate with obstacles (E.12) and cloud limits (E.7–E.8).
22,6_4,Innovation,Innovation Culture and Leadership,Our organization’s leadership promotes a culture of innovation and encourages AI-driven creativity and experimentation,—,—,No direct,Innovation culture/leadership isn’t asked; qualitative insights in Ch.5 interviews (not quantified).
23,7_1,Adaptation & Adoption,Tooldropping,"When we implement AI tools, we systematically update and enforce processes to ensure employees can use them effectively and maximize their impact.",—,—,No direct,‘Tooldropping’/deprecation behaviour isn’t covered.
24,7_2,Adaptation & Adoption,Jobs,"Our organization prepares for the future of work by upskilling employees, and redesigning jobs to adapt to emerging technologies.",—,—,No direct,Future‑of‑work preparation isn’t explicitly covered; related signals via training/retraining (E.15) and take‑up of training services (E.10).
25,7_3,Adaptation & Adoption,Engagement,"Employees across all levels of our organization understand the value of AI, embrace the changes it causes and actively seek opportunities to adopt it in their workflows",Q10 (reluctance of staff),E.12,Partial,Employee involvement isn’t asked; staff reluctance serves as a partial negative signal.
26,7_4,Adaptation & Adoption,Confidence/Authority,Our organization promotes cross-departmental collaboration and seeking opportunities for AI ways of working,—,—,No direct,"Cross‑departmental collaboration isn’t captured; external collaborations (Q9, E.11) are available but not internal ones."
27,8_1,Ethics and Responsibility,Ethical AI Framework,Our organization applies ethical AI guidelines and ensures accountability for AI outcomes,Q16 (favour accountability regulation); Q17 (criteria incl. record‑keeping/transparency),E.20; E.21,Partial,Internal ethical frameworks aren’t asked; use attitudes to accountability and responsible‑use criteria as proxies.
28,8_2,Ethics and Responsibility,Bias and Fairness,Our organization effectively addresses potential biases in AI models and algorithms,— (fairness/bias not explicit),—,No direct,Bias/fairness isn’t directly measured; partial inference via Q17 criteria if you assume they include fairness (check wording per country).
29,8_3,Ethics and Responsibility,Transparency and Explainability,Our responsibility for our use of AI extends to our external partners,Q17 (make customers aware; keep records),E.21,Direct,Transparency/explainability map to E.21 items on disclosure and record‑keeping.
30,8_4,Ethics and Responsibility,Data Privacy and Security,Our organization protects personal data and complies with privacy regulations in AI application,Q10 (privacy/security as obstacles); Q17 (protect customer data/privacy); Q18 (regulatory awareness),E.12; E.21; E.22,Direct,Use E.12 for privacy/security obstacles; E.21 for privacy criterion; E.22 for awareness of regulatory requirements.
