Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Zuid-Holland,Research & Development,3-10 year,35-45,NL,0,4429e860
Utrecht,Strategy & Innovation,>20 year,<25,NL,0,3cfc9a89
Limburg,HR,10-20 year,45-55,NL,0,f0d0b6a7
Noord-Holland,Projectmanagement,3-10 year,<25,NL,0,77281957
Noord-Holland,Supply Chain,<3 year,55+,NL,0,5798051a
Friesland,Finance,<3 year,55+,NL,0,66fd3541
Utrecht,Maintenance & Management,3-10 year,55+,NL,0,3a690ba5
Flevoland,Maintenance & Management,<3 year,45-55,NL,0,31153d9a
Friesland,Marketing,<3 year,35-45,NL,0,0d57e9a9
Zeeland,Quality & Safety,<3 year,55+,NL,0,5272850e
Drenthe,Procurement,>20 year,<25,NL,0,f4e41b6c
Drenthe,Procurement,3-10 year,55+,NL,0,9832567
Limburg,Quality & Safety,<3 year,<25,NL,0,0f55c1cb
Gelderland,Procurement,3-10 year,55+,NL,0,2dfa9456
Overijssel,Klantenservice,<3 year,35-45,NL,0,1fac520b
Zuid-Holland,Data & Analytics,10-20 year,<25,NL,0,65582002
Zuid-Holland,Marketing,<3 year,35-45,NL,0,755d6bed
Flevoland,HR,10-20 year,45-55,NL,0,f2278c38
Gelderland,Operations,3-10 year,45-55,NL,0,20426530
Noord-Holland,ICT,3-10 year,<25,NL,0,fc064c9b
Friesland,Maintenance & Management,>20 year,55+,NL,0,fccf6787
Utrecht,Quality & Safety,>20 year,45-55,NL,0,1bb3f518
Friesland,ICT,3-10 year,35-45,NL,0,9b145d0e
Gelderland,Sustainability,3-10 year,25-35,NL,0,e38e61e1
Overijssel,Projectmanagement,3-10 year,35-45,NL,0,8a780284
Zuid-Holland,Maintenance & Management,<3 year,55+,NL,0,3d89a2f9
Overijssel,Maintenance & Management,>20 year,55+,NL,0,7c17a2f3
Noord-Holland,Sustainability,>20 year,55+,NL,0,b0b2ed74
Limburg,Sustainability,3-10 year,35-45,NL,0,184092f0
Zeeland,Maintenance & Management,10-20 year,<25,NL,0,6ef53b0b
Flevoland,Supply Chain,3-10 year,25-35,NL,0,ab6c1beb
Limburg,Strategy & Innovation,<3 year,35-45,NL,0,ca8157fc
Zuid-Holland,Sustainability,<3 year,25-35,NL,0,4c748f20
Overijssel,Supply Chain,10-20 year,55+,NL,0,6f58a4ad
Overijssel,Data & Analytics,10-20 year,55+,NL,0,9c1b6123
Friesland,Strategy & Innovation,>20 year,25-35,NL,0,abc10a13
Zuid-Holland,Marketing,3-10 year,45-55,NL,0,d17e2073
Friesland,Sustainability,>20 year,45-55,NL,0,081c5465
Utrecht,Research & Development,>20 year,55+,NL,0,087db45d
Zeeland,Operations,>20 year,35-45,NL,0,61257280
Gelderland,HR,3-10 year,45-55,NL,0,447d8345
Zuid-Holland,Strategy & Innovation,10-20 year,25-35,NL,0,a29e25be
Overijssel,Sustainability,<3 year,55+,NL,0,2848bbd7
Overijssel,Sustainability,<3 year,25-35,NL,0,d422a941
Noord-Holland,Procurement,<3 year,35-45,NL,0,bc17c45e
Drenthe,Strategy & Innovation,3-10 year,55+,NL,0,c812c15d
Limburg,Maintenance & Management,>20 year,35-45,NL,0,d5ca0dad
Zeeland,Research & Development,10-20 year,<25,NL,0,d189a7ca
Zeeland,HR,<3 year,55+,NL,0,1a4e7439
Flevoland,Supply Chain,>20 year,35-45,NL,0,8154ce2c
Noord-Holland,Marketing,>20 year,45-55,NL,0,980fefbf
Gelderland,Sustainability,10-20 year,55+,NL,1,280a6e8c
Noord-Holland,HR,3-10 year,45-55,NL,1,b2912807
Overijssel,Strategy & Innovation,3-10 year,<25,NL,1,5f6a2daf
Flevoland,Klantenservice,<3 year,35-45,NL,1,810b3bab
Zeeland,Research & Development,3-10 year,35-45,NL,1,ff5445e0
Limburg,Supply Chain,10-20 year,25-35,NL,1,e3819680
Overijssel,Procurement,3-10 year,45-55,NL,1,52a8d0bd
Limburg,HR,3-10 year,35-45,NL,1,1286c526
Overijssel,Strategy & Innovation,<3 year,25-35,NL,1,1c19be82
Overijssel,Operations,3-10 year,55+,NL,1,e372ec58
Overijssel,Marketing,>20 year,<25,NL,1,e0d869c0
Zuid-Holland,Klantenservice,>20 year,55+,NL,1,fe683e5a
Zuid-Holland,ICT,3-10 year,25-35,NL,1,0c1e4897
Gelderland,Operations,3-10 year,45-55,NL,1,a66d5b5d
Gelderland,Klantenservice,10-20 year,25-35,NL,1,3de3e84c
Overijssel,Finance,10-20 year,55+,NL,1,cd5689b4
Limburg,Procurement,3-10 year,45-55,NL,1,f70680f5
Friesland,Communication,<3 year,<25,NL,1,c3beda85
Zeeland,Klantenservice,3-10 year,55+,NL,1,7a8ecbb7
Overijssel,Quality & Safety,>20 year,<25,NL,1,aa02e32f
Noord-Holland,Operations,<3 year,25-35,NL,1,a2ff6b1c
Utrecht,Projectmanagement,<3 year,45-55,NL,1,676247ae
Limburg,Sustainability,>20 year,35-45,NL,1,8a5c7d7f
Gelderland,ICT,3-10 year,<25,NL,1,093b57d8
Flevoland,Maintenance & Management,3-10 year,25-35,NL,1,44c58f17
Overijssel,Klantenservice,3-10 year,25-35,NL,1,c6f7c519
Overijssel,Supply Chain,10-20 year,35-45,NL,1,8c44aad7
Zeeland,Supply Chain,<3 year,35-45,NL,1,87682188
Friesland,Data & Analytics,3-10 year,45-55,NL,1,91359ef6
Friesland,Sales,>20 year,55+,NL,1,5372ca3e
Zuid-Holland,Operations,3-10 year,55+,NL,1,ecc6e693
Utrecht,ICT,<3 year,55+,NL,1,6f4c72b3
Drenthe,Finance,10-20 year,25-35,NL,1,0401afee
Zuid-Holland,Sustainability,3-10 year,55+,NL,1,354c3cab
Zeeland,Klantenservice,<3 year,35-45,NL,1,f83fb1a7
Zuid-Holland,Maintenance & Management,>20 year,<25,NL,1,c765caea
Gelderland,Marketing,<3 year,25-35,NL,1,6482c23b
Overijssel,Quality & Safety,<3 year,<25,NL,1,72c702be
Friesland,Research & Development,>20 year,<25,NL,1,820026a1
Flevoland,Quality & Safety,<3 year,35-45,NL,1,416b9864
Gelderland,Quality & Safety,<3 year,45-55,NL,1,5a9713a3
Gelderland,Data & Analytics,<3 year,<25,NL,1,1c9e3ee8
Gelderland,Research & Development,>20 year,35-45,NL,1,4553c2b7
Zeeland,Strategy & Innovation,10-20 year,55+,NL,1,2d7dffb6
Friesland,Marketing,3-10 year,<25,NL,1,b6325570
Gelderland,Operations,<3 year,<25,NL,1,c7a73677
Limburg,Operations,>20 year,35-45,NL,1,74040319
Overijssel,HR,<3 year,<25,NL,1,609ca939
Zuid-Holland,Maintenance & Management,<3 year,35-45,NL,1,7879f6d6
Friesland,Maintenance & Management,>20 year,45-55,NL,1,7d8de71c
Limburg,Supply Chain,10-20 year,55+,NL,1,2a1138bf
Friesland,Marketing,>20 year,55+,NL,1,97bb794d
Limburg,Projectmanagement,>20 year,25-35,NL,1,0d9cfa73
Flevoland,Communication,10-20 year,45-55,NL,1,a4069c91
Zuid-Holland,Strategy & Innovation,10-20 year,35-45,NL,1,9c9a04a6
Friesland,Procurement,3-10 year,35-45,NL,1,d82f980a
Zuid-Holland,Operations,3-10 year,35-45,NL,1,2d999e2a
Flevoland,HR,>20 year,45-55,NL,1,7a0cdbc9
Limburg,Maintenance & Management,3-10 year,25-35,NL,1,c748ce0b
Noord-Holland,Procurement,<3 year,55+,NL,1,a33ccfe5
Utrecht,Projectmanagement,10-20 year,25-35,NL,1,21548e3d
Limburg,Quality & Safety,>20 year,25-35,NL,1,00aa5f96
Limburg,Supply Chain,>20 year,55+,NL,1,d1c64be2
Drenthe,Data & Analytics,>20 year,35-45,NL,1,e768b6d5
Friesland,Communication,3-10 year,<25,NL,1,f1becd6b
Overijssel,Data & Analytics,3-10 year,35-45,NL,1,3a558b5f
Overijssel,Research & Development,<3 year,25-35,NL,1,6fab06d5
Overijssel,Data & Analytics,10-20 year,<25,NL,1,3e375cdc
Overijssel,Data & Analytics,10-20 year,35-45,NL,1,97239576
Zeeland,Projectmanagement,3-10 year,35-45,NL,1,0a623abe
Drenthe,Sales,10-20 year,35-45,NL,1,d3615fc3
Zuid-Holland,HR,3-10 year,<25,NL,1,b12ee510
Zeeland,Sustainability,3-10 year,35-45,NL,1,9044d37e
Drenthe,Sustainability,3-10 year,45-55,NL,1,36169fe8
Flevoland,Data & Analytics,3-10 year,<25,NL,1,b5d3742e
Limburg,HR,>20 year,<25,NL,1,3d835302
Zeeland,Supply Chain,<3 year,45-55,NL,1,90690b8c
Noord-Holland,Data & Analytics,3-10 year,25-35,NL,1,8677e14d
Friesland,Procurement,>20 year,45-55,NL,1,f1065aed
Zuid-Holland,Strategy & Innovation,<3 year,<25,NL,1,fce28f47
Zuid-Holland,Communication,3-10 year,35-45,NL,1,071cc009
Flevoland,Procurement,<3 year,55+,NL,1,0f1e0541
Flevoland,Finance,10-20 year,45-55,NL,1,b634c463
Friesland,Maintenance & Management,>20 year,55+,NL,1,ef2eaecf
Friesland,Klantenservice,>20 year,25-35,NL,1,e807da43
Flevoland,Finance,>20 year,25-35,NL,1,21be406f
Friesland,HR,>20 year,25-35,NL,1,813703db
Friesland,Communication,>20 year,<25,NL,1,a906898b
Friesland,Projectmanagement,3-10 year,35-45,NL,1,c2f2d8ca
Drenthe,Marketing,10-20 year,<25,NL,1,bf3b85d2
Flevoland,Communication,<3 year,<25,NL,1,a1ca679c
Limburg,Supply Chain,<3 year,45-55,NL,1,f68c5531
Friesland,Strategy & Innovation,<3 year,55+,NL,1,516c1f72
Overijssel,Procurement,<3 year,<25,NL,1,18e54c2b
Drenthe,HR,<3 year,25-35,NL,1,75c99e3e
Utrecht,Sustainability,3-10 year,55+,NL,1,8845a872
Drenthe,Data & Analytics,10-20 year,25-35,NL,1,b04c8e60
Limburg,Strategy & Innovation,3-10 year,55+,NL,1,a12a0609
Limburg,Operations,>20 year,55+,NL,1,971a460f
Friesland,HR,3-10 year,35-45,NL,1,ba00b93e
Overijssel,Klantenservice,<3 year,25-35,NL,1,8bf3da1f
Zuid-Holland,Finance,>20 year,25-35,NL,1,6b3f501e
Overijssel,Quality & Safety,3-10 year,55+,NL,1,40ca06e8
Friesland,Finance,<3 year,25-35,NL,1,24f82022
Friesland,ICT,10-20 year,55+,NL,1,f2561877
Utrecht,Projectmanagement,3-10 year,55+,NL,1,50f6c61a
Zuid-Holland,Sales,3-10 year,25-35,NL,1,b154da18
Friesland,Procurement,<3 year,55+,NL,1,dd288a2e
Flevoland,Klantenservice,3-10 year,55+,NL,1,60829716
Zuid-Holland,ICT,10-20 year,25-35,NL,1,925cba91
Drenthe,Procurement,>20 year,35-45,NL,1,d34a01b8
Limburg,ICT,<3 year,45-55,NL,1,3b34cc56
Gelderland,Data & Analytics,>20 year,<25,NL,1,e18c0022
Drenthe,Procurement,<3 year,<25,NL,1,4d6e8436
Utrecht,Research & Development,>20 year,35-45,NL,1,542e1411
Noord-Holland,Research & Development,>20 year,25-35,NL,1,01eac7e4
Flevoland,Marketing,10-20 year,45-55,NL,1,f16df8fa
Drenthe,HR,3-10 year,35-45,NL,1,40a7a79a
Overijssel,Strategy & Innovation,10-20 year,55+,NL,1,0afb8580
Noord-Holland,Data & Analytics,10-20 year,<25,NL,1,c01bf24d
Zeeland,Strategy & Innovation,3-10 year,25-35,NL,1,0fe957ef
Zeeland,HR,>20 year,45-55,NL,1,b8a098f4
Flevoland,Quality & Safety,3-10 year,35-45,NL,1,96537555
Drenthe,Data & Analytics,<3 year,45-55,NL,1,15628d98
Noord-Holland,Projectmanagement,10-20 year,45-55,NL,1,9fc59063
Friesland,Procurement,3-10 year,55+,NL,1,1a78e9d9
Flevoland,Data & Analytics,>20 year,25-35,NL,1,8f4d14b4
Gelderland,Finance,3-10 year,25-35,NL,1,4248aa1d
Limburg,Data & Analytics,>20 year,<25,NL,1,55daea79
Flevoland,Quality & Safety,>20 year,45-55,NL,1,17041549
Friesland,HR,>20 year,45-55,NL,1,bb05e28a
Friesland,Strategy & Innovation,3-10 year,55+,NL,1,0de722de
Gelderland,Operations,3-10 year,<25,NL,1,b837edf5
Gelderland,Marketing,<3 year,45-55,NL,1,7801d9fa
Zuid-Holland,Quality & Safety,>20 year,55+,NL,1,28682c60
Limburg,HR,3-10 year,<25,NL,1,ade5b8c0
Flevoland,Operations,10-20 year,35-45,NL,1,6f3f605a
Friesland,Sales,>20 year,35-45,NL,1,8db5f861
Gelderland,Klantenservice,3-10 year,55+,NL,1,3b6b8b01
Friesland,Operations,10-20 year,25-35,NL,1,ee45d9cf
Utrecht,Maintenance & Management,10-20 year,<25,NL,1,8aa40de9
Friesland,ICT,<3 year,35-45,NL,1,ef7ef4f9
Overijssel,Data & Analytics,>20 year,55+,NL,1,1ef5c187
Drenthe,Supply Chain,3-10 year,45-55,NL,1,57ac6df1
Zuid-Holland,Procurement,>20 year,55+,NL,1,0350222a
Zeeland,Sustainability,10-20 year,55+,NL,1,4b60dcb6
Drenthe,Sales,10-20 year,25-35,NL,1,b3431350
Limburg,Sales,<3 year,45-55,NL,1,abd9bc54
Gelderland,Data & Analytics,3-10 year,45-55,NL,1,15345dc4
Utrecht,ICT,<3 year,25-35,NL,1,c270f79d
Zuid-Holland,Data & Analytics,3-10 year,35-45,NL,1,824e2962
Zuid-Holland,Maintenance & Management,10-20 year,35-45,NL,1,e87b501b
Gelderland,Supply Chain,10-20 year,45-55,NL,1,29870b52
Drenthe,Klantenservice,3-10 year,45-55,NL,1,4341b243
Overijssel,Data & Analytics,3-10 year,55+,NL,1,bdd0d1f0
Overijssel,Strategy & Innovation,10-20 year,35-45,NL,1,8b8368d9
Zuid-Holland,Sales,10-20 year,<25,NL,1,02b4bd3e
Friesland,Data & Analytics,3-10 year,55+,NL,1,e2e2ecd4
Utrecht,ICT,3-10 year,<25,NL,1,74f8c234
Drenthe,Projectmanagement,10-20 year,25-35,NL,1,eb844335
Friesland,Supply Chain,>20 year,35-45,NL,1,b23d47c7
Friesland,Communication,10-20 year,25-35,NL,1,c2e0310f
Flevoland,Sustainability,>20 year,45-55,NL,1,f29ab208
Friesland,Projectmanagement,<3 year,45-55,NL,1,173b947c
Overijssel,Procurement,3-10 year,<25,NL,1,60ab242e
Noord-Holland,Strategy & Innovation,10-20 year,25-35,NL,1,1d84b1b6
Zeeland,Maintenance & Management,10-20 year,<25,NL,1,b70665e7
Zeeland,Klantenservice,3-10 year,<25,NL,1,b02060e1
Friesland,Supply Chain,<3 year,<25,NL,1,c188a561
Overijssel,Maintenance & Management,<3 year,45-55,NL,1,de929e11
Limburg,Research & Development,>20 year,45-55,NL,1,aba3c17b
Utrecht,Quality & Safety,10-20 year,55+,NL,1,987d042f
Zuid-Holland,Operations,3-10 year,45-55,NL,1,126dbfbb
Friesland,Finance,3-10 year,<25,NL,1,4ad5f5a0
Zuid-Holland,Research & Development,>20 year,25-35,NL,1,aa65af34
Limburg,Communication,<3 year,25-35,NL,1,4f1621ad
Limburg,Supply Chain,>20 year,<25,NL,1,ec0f9728
Utrecht,Finance,3-10 year,<25,NL,1,960a1011
Limburg,Maintenance & Management,>20 year,<25,NL,1,93255877
Overijssel,Projectmanagement,3-10 year,55+,NL,1,afbb8dae
Limburg,Finance,10-20 year,<25,NL,1,470a8434
Gelderland,Klantenservice,>20 year,35-45,NL,1,29be0914
Utrecht,Supply Chain,10-20 year,35-45,NL,1,8d67606d
Zeeland,Projectmanagement,>20 year,<25,NL,1,3551776c
Limburg,ICT,>20 year,45-55,NL,1,82378c8e
Gelderland,Sustainability,<3 year,45-55,NL,1,79a8372a
Limburg,ICT,10-20 year,45-55,NL,1,89e5719b
Zuid-Holland,Finance,10-20 year,45-55,NL,1,60838d81
Utrecht,Strategy & Innovation,>20 year,45-55,NL,1,5a8f0cf5
Flevoland,Procurement,3-10 year,35-45,NL,1,4d6169b7
Limburg,Sales,3-10 year,25-35,NL,1,e7324048
Friesland,Strategy & Innovation,<3 year,35-45,NL,1,d184a19c
Noord-Holland,Quality & Safety,3-10 year,35-45,NL,1,09f5f13e
Friesland,Maintenance & Management,3-10 year,45-55,NL,1,cb2acacf
Friesland,Sustainability,>20 year,<25,NL,1,012b52f2
Limburg,Sales,3-10 year,<25,NL,1,8eacc1a7
Noord-Holland,Klantenservice,3-10 year,45-55,NL,1,712e0b90
Gelderland,ICT,10-20 year,35-45,NL,1,43c140ba
Limburg,Sustainability,>20 year,55+,NL,1,ea7b47c5
Friesland,Operations,<3 year,25-35,NL,1,d8ca857f
Flevoland,Data & Analytics,>20 year,55+,NL,1,41649372
Noord-Holland,Research & Development,3-10 year,25-35,NL,1,6479cb36
Overijssel,Strategy & Innovation,>20 year,25-35,NL,1,fed5e4f1
Flevoland,ICT,<3 year,25-35,NL,1,40f4cafa
Drenthe,Quality & Safety,>20 year,45-55,NL,1,4551cb87
Noord-Holland,Quality & Safety,10-20 year,<25,NL,1,764bc0ed
Friesland,Sustainability,3-10 year,45-55,NL,1,320ce6a9
Flevoland,ICT,10-20 year,55+,NL,1,6d1554bd
Gelderland,Quality & Safety,10-20 year,25-35,NL,1,ec568f50
Drenthe,Procurement,10-20 year,<25,NL,1,d3d82513
Overijssel,Communication,<3 year,35-45,NL,1,31b19c2a
Gelderland,Procurement,>20 year,35-45,NL,1,257464c6
Gelderland,Sales,10-20 year,55+,NL,1,2449e41c
Zeeland,ICT,<3 year,35-45,NL,1,22d4aa67
Gelderland,Strategy & Innovation,3-10 year,<25,NL,1,a9fb531c
Flevoland,Strategy & Innovation,<3 year,25-35,NL,1,a084866c
Zuid-Holland,Sustainability,3-10 year,<25,NL,1,caa374af
Zeeland,Strategy & Innovation,>20 year,45-55,NL,1,a74f3370
Zeeland,Procurement,<3 year,55+,NL,1,b785f50a
Flevoland,Communication,10-20 year,55+,NL,1,4fff8024
Utrecht,Strategy & Innovation,3-10 year,45-55,NL,1,39deaa23
Friesland,Quality & Safety,<3 year,<25,NL,1,b9089794
Noord-Holland,Supply Chain,10-20 year,55+,NL,1,355bfa4d
Noord-Holland,Strategy & Innovation,10-20 year,45-55,NL,1,448eae55
Zuid-Holland,HR,>20 year,35-45,NL,1,8b6042d9
Zuid-Holland,Klantenservice,10-20 year,45-55,NL,1,ded45054
Zuid-Holland,Klantenservice,<3 year,<25,NL,1,4f7502fa
Drenthe,Procurement,<3 year,35-45,NL,1,6a46141f
Limburg,Data & Analytics,10-20 year,35-45,NL,1,4276dcb8
Zuid-Holland,Sales,10-20 year,25-35,NL,1,4fdf33b3
Zuid-Holland,Data & Analytics,>20 year,25-35,NL,1,6e92651c
Zeeland,Finance,10-20 year,<25,NL,1,694c786a
Friesland,Maintenance & Management,>20 year,<25,NL,1,8d54dc6f
Gelderland,ICT,>20 year,55+,NL,1,6a33cedb
Flevoland,Communication,3-10 year,55+,NL,1,ea12c81e
Overijssel,Operations,10-20 year,25-35,NL,1,50fb457f
Noord-Holland,Projectmanagement,<3 year,45-55,NL,1,1a3d6873
Noord-Holland,Strategy & Innovation,<3 year,25-35,NL,1,d6d076b3
Flevoland,Quality & Safety,10-20 year,55+,NL,1,bc60b23f
Noord-Holland,Procurement,>20 year,45-55,NL,1,618b740e
Limburg,Sales,<3 year,35-45,NL,1,a8e11444
Gelderland,Finance,>20 year,<25,NL,1,247ef8de
Overijssel,Sales,<3 year,55+,NL,1,361ebae5
Overijssel,Sales,>20 year,45-55,NL,1,e661c7af
Zeeland,Klantenservice,>20 year,45-55,NL,1,cbeb911b
Gelderland,Communication,>20 year,<25,NL,1,70d9ac1a
Zeeland,Maintenance & Management,>20 year,25-35,NL,1,b92c4673
Overijssel,Projectmanagement,3-10 year,<25,NL,1,66138110
Limburg,Klantenservice,>20 year,25-35,NL,1,f79a78c8
Friesland,Finance,>20 year,55+,NL,1,fa4e6aeb
Utrecht,Projectmanagement,3-10 year,<25,NL,1,21527c1a
Zeeland,Data & Analytics,>20 year,45-55,NL,1,780e716b
Overijssel,Research & Development,>20 year,<25,NL,1,da72f9d0
Zeeland,Operations,<3 year,<25,NL,1,4a2b33fe
Flevoland,Sustainability,>20 year,<25,NL,1,7b3c1ae7
Friesland,Operations,<3 year,45-55,NL,1,da3f92d1
Flevoland,Research & Development,3-10 year,<25,NL,1,64bbd9f4
Overijssel,HR,3-10 year,55+,NL,1,bf4da1ce
Flevoland,Klantenservice,>20 year,25-35,NL,1,af656b3a
Flevoland,Sales,10-20 year,55+,NL,1,b8dd50e0
Friesland,Procurement,3-10 year,<25,NL,1,16c5c075
Flevoland,ICT,10-20 year,25-35,NL,1,1a5dc904
Gelderland,Strategy & Innovation,10-20 year,55+,NL,1,6eb1f7c3
Zeeland,Marketing,10-20 year,55+,NL,1,c1102d16
Gelderland,Procurement,10-20 year,35-45,NL,1,e85ef2cf
Utrecht,Finance,3-10 year,25-35,NL,1,a1881889
Gelderland,Projectmanagement,10-20 year,35-45,NL,1,075738ea
Limburg,Operations,3-10 year,25-35,NL,1,039d65f1
Zeeland,Finance,3-10 year,35-45,NL,1,f88c9318
Gelderland,HR,3-10 year,25-35,NL,1,6493bae4
Utrecht,Strategy & Innovation,<3 year,<25,NL,1,8d2902bc
Limburg,Procurement,3-10 year,55+,NL,1,b1ffc38b
Noord-Holland,Supply Chain,3-10 year,55+,NL,1,0da9e4f0
Utrecht,Communication,<3 year,35-45,NL,1,d8559fd3
Utrecht,Sustainability,<3 year,45-55,NL,1,1ea26b9d
Limburg,Marketing,3-10 year,55+,NL,1,7636ee84
Gelderland,HR,>20 year,35-45,NL,1,1c000c00
Zeeland,Communication,<3 year,25-35,NL,1,772bf5dd
Limburg,HR,>20 year,45-55,NL,1,e9a6ca60
Zuid-Holland,Quality & Safety,3-10 year,45-55,NL,1,ae6c590c
Zuid-Holland,Strategy & Innovation,10-20 year,45-55,NL,1,88a3e28a
Flevoland,Operations,>20 year,<25,NL,1,dcdc2106
Overijssel,Maintenance & Management,10-20 year,35-45,NL,1,cc20d10c
Zeeland,Data & Analytics,3-10 year,25-35,NL,1,c8d416f7
Drenthe,Strategy & Innovation,3-10 year,45-55,NL,1,78804c90
Zuid-Holland,Supply Chain,<3 year,45-55,NL,1,b7282ac0
Drenthe,Maintenance & Management,10-20 year,35-45,NL,1,8c4b313f
Overijssel,Projectmanagement,3-10 year,35-45,NL,1,ae19cb0f
Gelderland,Strategy & Innovation,>20 year,45-55,NL,1,4a837dc7
Utrecht,Supply Chain,3-10 year,35-45,NL,1,4c2d6a5d
Zeeland,HR,<3 year,55+,NL,1,66d998c1
Overijssel,Operations,>20 year,35-45,NL,1,1c75c69a
Drenthe,Sales,<3 year,45-55,NL,1,3f3b6bbe
Noord-Holland,ICT,10-20 year,45-55,NL,1,889cdd94
Friesland,Quality & Safety,>20 year,35-45,NL,1,6b618943
Limburg,Maintenance & Management,>20 year,55+,NL,1,ce2ab618
Friesland,ICT,>20 year,<25,NL,1,b21ddada
Noord-Holland,Finance,3-10 year,<25,NL,1,d3c8fcad
Zeeland,Klantenservice,>20 year,35-45,NL,1,a0f000dd
Gelderland,Quality & Safety,<3 year,<25,NL,1,314f1c91
Utrecht,Maintenance & Management,<3 year,45-55,NL,1,d5e888de
Limburg,Finance,>20 year,25-35,NL,1,6c957d17
Limburg,Procurement,3-10 year,35-45,NL,1,14a6d35c
Zuid-Holland,Quality & Safety,10-20 year,55+,NL,1,22b5c76e
Zeeland,Supply Chain,3-10 year,25-35,NL,1,5f8c25d1
Zuid-Holland,Sustainability,3-10 year,45-55,NL,1,85de4631
Noord-Holland,Quality & Safety,<3 year,25-35,NL,1,b4c60281
Flevoland,HR,3-10 year,45-55,NL,1,c91405b0
Limburg,Communication,<3 year,35-45,NL,1,6e743f5c
Noord-Holland,HR,10-20 year,55+,NL,1,e30ccd08
Zuid-Holland,Finance,>20 year,55+,NL,1,e65e3346
Zeeland,Strategy & Innovation,10-20 year,35-45,NL,1,46fb7321
Overijssel,Supply Chain,3-10 year,25-35,NL,1,88c153ac
Utrecht,Klantenservice,<3 year,55+,NL,1,a14eac0d
Gelderland,ICT,3-10 year,55+,NL,1,b73c3bdb
Overijssel,Research & Development,10-20 year,35-45,NL,1,79571224
Utrecht,Strategy & Innovation,10-20 year,25-35,NL,1,14e97ac4
Utrecht,Sales,<3 year,45-55,NL,1,3a0638ee
Overijssel,Maintenance & Management,<3 year,25-35,NL,1,8170b00f
Limburg,Data & Analytics,<3 year,35-45,NL,1,a1b2cca4
Drenthe,Klantenservice,<3 year,55+,NL,1,552f6796
Utrecht,Sales,3-10 year,25-35,NL,1,0a6f57a8
Flevoland,Data & Analytics,3-10 year,35-45,NL,1,4bb025e0
Gelderland,HR,10-20 year,35-45,NL,1,0af360b0
Flevoland,Strategy & Innovation,<3 year,55+,NL,1,c0bb7e71
Utrecht,Supply Chain,<3 year,35-45,NL,1,3a18b1d0
Noord-Holland,Sales,>20 year,55+,NL,1,45f4d05a
Utrecht,Sales,10-20 year,<25,NL,1,36368776
Overijssel,ICT,3-10 year,55+,NL,1,cb0430db
