ResponseId,RespondentID,StartDate,Finished,DistributionChannel,SessionID
R_2ql393olLXwi5C7,a64c52fc,2025-07-15 14:00:00,1,gl,f7cb83b2
R_2PmIVHlDDex10ml,69680f70,2025-07-16 07:19:00,1,gl,ff5830f3
R_2Uwa59rHLSmN6tr,a12aff54,2025-07-16 12:08:00,1,gl,88e82722
R_22tGPQh4gnwybOV,7ebf37ae,2025-07-16 16:20:00,1,gl,bed0ed6a
R_2dFx0kIO4YYEk0K,d13f42c9,2025-07-17 08:11:00,1,gl,1e5d5f35
R_2FCXoTcZ1F4PZ5c,00fe1b23,2025-07-17 08:41:00,1,gl,bee68fee
R_2tgx5NF0COScXJ0,240c1cbf,2025-07-17 08:50:00,1,gl,0c981838
R_8PBs5O2RXCTUhFA,2a17a3a2,2025-07-18 09:11:00,1,gl,bf9fd1c4
R_8wYrHHB5l1f1xex,4429e860,2025-07-18 14:41:00,1,gl,15375b7c
R_8Hqcp12uR90FvRy,3cfc9a89,2025-07-18 15:09:00,1,anonymous,996eb4e8
R_2gd5lQW5546Yjry,f0d0b6a7,2025-07-21 08:44:00,1,gl,adf13420
R_8d49UkRKX7yDYAe,77281957,2025-07-14 10:58:00,0,gl,716199c5
R_8SufQYsKYKqvUMF,5798051a,2025-07-14 11:49:00,0,gl,1b54378c
R_2ohGwAPOtAfwLwE,66fd3541,2025-07-14 13:41:00,0,gl,e8912e52
R_8V2UjdbByCooIlz,3a690ba5,2025-07-14 14:26:00,0,gl,62fc4483
R_2KJIdvTr77AvTUv,31153d9a,2025-07-15 08:17:00,0,gl,aedb7f74
R_3Uvvlko72cU6iTD,0d57e9a9,2025-07-15 09:43:00,0,gl,8362494e
R_8WA695XbO4JEsod,5272850e,2025-07-15 14:48:00,0,gl,950699a6
R_2f0xh5NQbp3H9Yf,f4e41b6c,2025-07-23 11:43:00,1,gl,76f3a281
R_2EcPypaz8igswdc,09832567,2025-07-24 15:38:00,1,gl,e8794998
R_2FJ5T6cdbejEdu1,0f55c1cb,2025-07-22 07:49:00,0,gl,eef06031
R_2WB8aNW4BMdYb2p,2dfa9456,2025-07-30 09:28:00,1,gl,5aa7629e
R_8dx1ofibBgkEluV,1fac520b,2025-08-04 09:40:00,1,gl,11175f94
R_8KPnTw5XaNqGkY2,65582002,2025-08-04 15:39:00,1,gl,bf9ea567
R_2iq88n5arBBFsim,755d6bed,2025-08-06 09:52:00,1,gl,03c1d071
R_8UOwKT2nQj4LI41,f2278c38,2025-08-11 08:38:00,1,gl,66d42a9c
R_8v8hsiXINBRoBKG,20426530,2025-08-20 13:41:00,1,anonymous,ea6f0d24
R_8oViQ1ZlzjtiZah,fc064c9b,2025-08-20 13:47:00,1,anonymous,b200687d
R_8RPUfTaVJy6GcQV,fccf6787,2025-08-20 13:58:00,1,anonymous,7aad38a3
R_2jUQokHddZy2Y3n,1bb3f518,2025-08-20 14:17:00,1,anonymous,73a4cad1
R_8KeS89JpQS1n91J,9b145d0e,2025-08-20 14:20:00,1,anonymous,73befb1e
R_2JapKO5KR8EiQKM,e38e61e1,2025-08-20 14:49:00,1,anonymous,8a7d9690
R_80i4G0GIHshifWz,8a780284,2025-08-20 15:15:00,1,anonymous,fadd36c8
R_8eCxIwerpoFkjLn,3d89a2f9,2025-08-20 15:15:00,1,gl,7ed16c5e
R_83EjqiPGFEqZ4qZ,7c17a2f3,2025-08-20 16:10:00,1,anonymous,cc284be5
R_8gXVnxqHDDhMqtE,b0b2ed74,2025-08-20 22:41:00,1,anonymous,52fc0e43
R_8r0NEadf2gU8AWS,184092f0,2025-08-21 07:40:00,1,anonymous,c267c3f6
R_8gYGVBS734XXDIC,6ef53b0b,2025-08-21 11:24:00,1,anonymous,93160788
R_2egSE6B9CKZQjjX,ab6c1beb,2025-08-21 11:33:00,1,anonymous,d99a8844
R_8fqQAELefxFZyYV,ca8157fc,2025-08-21 11:40:00,1,anonymous,cdb08f95
R_2LItW3lktQonpmB,4c748f20,2025-08-21 14:50:00,1,anonymous,abea6cc9
R_8Q4NcR0qE0NxXxw,6f58a4ad,2025-08-22 12:55:00,1,anonymous,ff414b43
R_22EzL0RA4Xef7mL,9c1b6123,2025-08-24 08:11:00,1,anonymous,e5b1be40
R_23vGlnc1m1XXonm,abc10a13,2025-08-25 09:52:00,1,anonymous,c0f33ee2
R_2iPaga8yrGYTTqg,d17e2073,2025-08-26 11:22:00,1,anonymous,557939c2
R_8GyDnpvFtY3smrv,081c5465,2025-08-22 13:46:00,1,anonymous,b168783a
R_2ZpB5aCsmUAeTi9,087db45d,2025-08-27 13:38:00,1,anonymous,dd1682c2
R_8eOukicMQ3t64kA,61257280,2025-08-20 13:44:00,0,anonymous,fac1d472
R_2g5vV5mdUv1MeBf,447d8345,2025-08-20 14:27:00,0,anonymous,12a44635
R_2dEXHTx1deLFOHU,a29e25be,2025-08-20 14:36:00,0,anonymous,b4dd20eb
R_2SddhAqWhQHCiSQ,2848bbd7,2025-08-20 14:57:00,0,anonymous,09d4b563
R_27CEn2vlPNu9JR2,d422a941,2025-08-20 15:53:00,0,anonymous,8e9274f1
R_2dQaBCec6khfaHy,bc17c45e,2025-08-28 11:17:00,1,anonymous,6e127e57
R_2sKKsJWTyROxesp,c812c15d,2025-08-21 11:25:00,0,anonymous,f88b2ca0
R_8CWx6EVCWIZtkKR,d5ca0dad,2025-08-21 14:13:00,0,anonymous,34779d02
R_8zIvJgoDqUomk23,d189a7ca,2025-08-25 09:55:00,0,anonymous,1fbd9606
R_2o6hVidyaiVf5dG,1a4e7439,2025-09-01 10:41:00,1,anonymous,ec912b63
R_8th4BEFp44n8uHd,8154ce2c,2025-09-02 09:09:00,1,anonymous,8c6233d3
R_2LX9VBbY9hWAcvY,980fefbf,2025-08-20 13:56:00,0,anonymous,0b1d7937
SYNTH_000000,280a6e8c,2024-07-28 00:00:00,0,gl,1e2c6f7c
SYNTH_000001,b2912807,2024-06-21 00:00:00,1,anonymous,22134afd
SYNTH_000002,5f6a2daf,2024-06-26 00:00:00,1,anonymous,ca325927
SYNTH_000003,810b3bab,2024-06-14 00:00:00,1,anonymous,69c682e6
SYNTH_000004,ff5445e0,2024-11-28 00:00:00,1,anonymous,53bd69f3
SYNTH_000005,e3819680,2024-05-30 00:00:00,1,anonymous,e3d79b9d
SYNTH_000006,52a8d0bd,2024-04-13 00:00:00,1,gl,009faa54
SYNTH_000007,1286c526,2024-03-04 00:00:00,1,anonymous,3585783f
SYNTH_000008,1c19be82,2024-05-02 00:00:00,1,anonymous,c87bc1f9
SYNTH_000009,e372ec58,2024-10-20 00:00:00,1,gl,0504a0bc
SYNTH_000010,e0d869c0,2024-11-09 00:00:00,0,anonymous,58cdec84
SYNTH_000011,fe683e5a,2024-01-18 00:00:00,1,anonymous,c4b84221
SYNTH_000012,0c1e4897,2024-07-17 00:00:00,1,anonymous,1d28ad98
SYNTH_000013,a66d5b5d,2024-01-09 00:00:00,1,gl,1605c9ac
SYNTH_000014,3de3e84c,2024-03-30 00:00:00,0,gl,d098b0b8
SYNTH_000015,cd5689b4,2024-06-07 00:00:00,1,anonymous,2199ed37
SYNTH_000016,f70680f5,2024-09-04 00:00:00,0,gl,dbaee0b5
SYNTH_000017,c3beda85,2024-01-05 00:00:00,0,gl,37b60e81
SYNTH_000018,7a8ecbb7,2024-09-16 00:00:00,1,gl,ec72ad48
SYNTH_000019,aa02e32f,2024-10-23 00:00:00,1,anonymous,2ec9a159
SYNTH_000020,a2ff6b1c,2024-10-29 00:00:00,1,anonymous,5455704e
SYNTH_000021,676247ae,2024-05-26 00:00:00,0,gl,3335a642
SYNTH_000022,8a5c7d7f,2024-07-28 00:00:00,1,gl,59142c6c
SYNTH_000023,093b57d8,2024-06-25 00:00:00,0,gl,32240f9e
SYNTH_000024,44c58f17,2024-02-24 00:00:00,1,anonymous,4ff1fb89
SYNTH_000025,c6f7c519,2024-04-26 00:00:00,1,gl,e4471b94
SYNTH_000026,8c44aad7,2024-08-01 00:00:00,1,anonymous,a7edaabd
SYNTH_000027,87682188,2024-08-24 00:00:00,1,gl,88de453e
SYNTH_000028,91359ef6,2024-08-22 00:00:00,0,anonymous,b1ddecda
SYNTH_000029,5372ca3e,2024-09-10 00:00:00,1,gl,db84d75c
SYNTH_000030,ecc6e693,2024-08-04 00:00:00,1,anonymous,eee2eff6
SYNTH_000031,6f4c72b3,2024-01-01 00:00:00,1,anonymous,99532ade
SYNTH_000032,0401afee,2024-04-11 00:00:00,1,gl,8c5ea053
SYNTH_000033,354c3cab,2024-09-21 00:00:00,1,anonymous,268ed0b9
SYNTH_000034,f83fb1a7,2024-05-01 00:00:00,1,anonymous,3d6cf3c7
SYNTH_000035,c765caea,2024-12-17 00:00:00,0,gl,d0b674b9
SYNTH_000036,6482c23b,2024-10-13 00:00:00,1,anonymous,8a491f57
SYNTH_000037,72c702be,2024-04-14 00:00:00,1,gl,901a9646
SYNTH_000038,820026a1,2024-06-27 00:00:00,1,gl,0c97ce85
SYNTH_000039,416b9864,2024-06-18 00:00:00,0,anonymous,4ef2a4d2
SYNTH_000040,5a9713a3,2024-03-09 00:00:00,1,gl,27f0c258
SYNTH_000041,1c9e3ee8,2024-12-15 00:00:00,0,gl,bd23181c
SYNTH_000042,4553c2b7,2024-02-25 00:00:00,1,anonymous,ac64907f
SYNTH_000043,2d7dffb6,2024-12-01 00:00:00,1,anonymous,af76ffb8
SYNTH_000044,b6325570,2024-03-09 00:00:00,1,anonymous,7eec8695
SYNTH_000045,c7a73677,2024-01-24 00:00:00,0,anonymous,0efdfc51
SYNTH_000046,74040319,2024-10-17 00:00:00,1,gl,5f80fbcf
SYNTH_000047,609ca939,2024-11-14 00:00:00,1,anonymous,a2c5b5a1
SYNTH_000048,7879f6d6,2024-07-15 00:00:00,1,gl,de7d075a
SYNTH_000049,7d8de71c,2024-11-27 00:00:00,1,gl,a1bcf0e5
SYNTH_000050,2a1138bf,2024-08-09 00:00:00,1,anonymous,4e366146
SYNTH_000051,97bb794d,2024-05-05 00:00:00,1,gl,b75795b1
SYNTH_000052,0d9cfa73,2024-06-27 00:00:00,0,anonymous,c28b514e
SYNTH_000053,a4069c91,2024-04-09 00:00:00,0,anonymous,a5a26e79
SYNTH_000054,9c9a04a6,2024-08-23 00:00:00,1,anonymous,cec54538
SYNTH_000055,d82f980a,2024-10-26 00:00:00,1,anonymous,a54ef6fc
SYNTH_000056,2d999e2a,2024-02-18 00:00:00,1,gl,05a20c4b
SYNTH_000057,7a0cdbc9,2024-09-24 00:00:00,1,gl,dff58767
SYNTH_000058,c748ce0b,2024-03-04 00:00:00,1,anonymous,e74d4ba9
SYNTH_000059,a33ccfe5,2024-08-14 00:00:00,0,anonymous,3fde3bd9
SYNTH_000060,21548e3d,2024-04-20 00:00:00,1,gl,5db2ec98
SYNTH_000061,00aa5f96,2024-01-27 00:00:00,1,gl,401bf1fe
SYNTH_000062,d1c64be2,2024-08-14 00:00:00,1,anonymous,79e0d405
SYNTH_000063,e768b6d5,2024-10-14 00:00:00,1,gl,f98c87da
SYNTH_000064,f1becd6b,2024-08-11 00:00:00,1,anonymous,f0a792b0
SYNTH_000065,3a558b5f,2024-06-05 00:00:00,1,gl,1bbc17f5
SYNTH_000066,6fab06d5,2024-06-07 00:00:00,1,anonymous,0ce054ea
SYNTH_000067,3e375cdc,2024-05-08 00:00:00,0,anonymous,3fcbd1b0
SYNTH_000068,97239576,2024-10-29 00:00:00,0,gl,1a870d88
SYNTH_000069,0a623abe,2024-04-14 00:00:00,1,anonymous,48922582
SYNTH_000070,d3615fc3,2024-04-17 00:00:00,1,gl,b96ac0c7
SYNTH_000071,b12ee510,2024-08-27 00:00:00,1,gl,b4cc539c
SYNTH_000072,9044d37e,2024-09-26 00:00:00,1,gl,f38948d2
SYNTH_000073,d1c64be2,2024-09-07 00:00:00,1,anonymous,0056b52e
SYNTH_000074,36169fe8,2024-04-20 00:00:00,1,anonymous,a069bfc4
SYNTH_000075,b5d3742e,2024-01-10 00:00:00,1,gl,0cb9bcf9
SYNTH_000076,3d835302,2024-10-14 00:00:00,1,anonymous,770fc0aa
SYNTH_000077,90690b8c,2024-07-01 00:00:00,1,anonymous,9a40e19a
SYNTH_000078,8677e14d,2024-05-03 00:00:00,1,gl,81e4336f
SYNTH_000079,f1065aed,2024-07-07 00:00:00,1,anonymous,5b48704e
SYNTH_000080,fce28f47,2024-06-05 00:00:00,1,gl,bfc8b29d
SYNTH_000081,071cc009,2024-06-13 00:00:00,1,gl,ad86a0d7
SYNTH_000082,0f1e0541,2024-09-14 00:00:00,1,gl,4daf7906
SYNTH_000083,b634c463,2024-04-27 00:00:00,0,gl,893e1196
SYNTH_000084,ef2eaecf,2024-10-27 00:00:00,1,gl,4bf88412
SYNTH_000085,e807da43,2024-11-28 00:00:00,1,anonymous,4186f2fd
SYNTH_000086,21be406f,2024-04-28 00:00:00,1,gl,be7350a0
SYNTH_000087,813703db,2024-08-10 00:00:00,1,gl,dc4bac14
SYNTH_000088,a906898b,2024-08-05 00:00:00,1,gl,a9d48be9
SYNTH_000089,c2f2d8ca,2024-05-27 00:00:00,1,gl,a67e2e47
SYNTH_000090,3de3e84c,2024-04-19 00:00:00,1,anonymous,8dc59d35
SYNTH_000091,bf3b85d2,2024-09-04 00:00:00,1,anonymous,5f00c549
SYNTH_000092,a1ca679c,2024-06-07 00:00:00,1,anonymous,2fc3b095
SYNTH_000093,b6325570,2024-01-05 00:00:00,1,gl,e13197fa
SYNTH_000094,f68c5531,2024-01-28 00:00:00,1,anonymous,ef7a0289
SYNTH_000095,91359ef6,2024-09-24 00:00:00,1,gl,9cb2d452
SYNTH_000096,516c1f72,2024-11-29 00:00:00,0,gl,8d40ec26
SYNTH_000097,18e54c2b,2024-09-06 00:00:00,1,gl,f1e69cba
SYNTH_000098,75c99e3e,2024-06-29 00:00:00,1,anonymous,e7fb9077
SYNTH_000099,8845a872,2024-09-25 00:00:00,0,gl,31e1124d
SYNTH_000100,b04c8e60,2024-06-06 00:00:00,0,gl,b1347b3e
SYNTH_000101,a12a0609,2024-09-28 00:00:00,1,gl,55658b64
SYNTH_000102,971a460f,2024-09-26 00:00:00,1,gl,3d197c48
SYNTH_000103,ba00b93e,2024-11-13 00:00:00,1,anonymous,2037d547
SYNTH_000104,8bf3da1f,2024-03-29 00:00:00,1,gl,65c24e8b
SYNTH_000105,6b3f501e,2024-04-29 00:00:00,1,gl,ad71a5d0
SYNTH_000106,40ca06e8,2024-09-02 00:00:00,1,gl,1219f3df
SYNTH_000107,24f82022,2024-03-03 00:00:00,1,anonymous,4d059323
SYNTH_000108,f2561877,2024-10-16 00:00:00,1,anonymous,6c184c44
SYNTH_000109,21be406f,2024-08-24 00:00:00,1,anonymous,f28001a7
SYNTH_000110,50f6c61a,2024-08-02 00:00:00,1,anonymous,87890b53
SYNTH_000111,b154da18,2024-10-20 00:00:00,1,gl,5c8422f6
SYNTH_000112,dd288a2e,2024-02-25 00:00:00,1,anonymous,09ce2fb6
SYNTH_000113,60829716,2024-02-15 00:00:00,1,gl,ab7eafaf
SYNTH_000114,925cba91,2024-10-19 00:00:00,0,gl,aefb9939
SYNTH_000115,d34a01b8,2024-05-19 00:00:00,1,anonymous,8b87b21d
SYNTH_000116,3b34cc56,2024-09-12 00:00:00,1,anonymous,4b4803d6
SYNTH_000117,e18c0022,2024-06-23 00:00:00,1,gl,f20f2b5d
SYNTH_000118,4d6e8436,2024-06-26 00:00:00,1,gl,f7020a11
SYNTH_000119,542e1411,2024-01-21 00:00:00,1,gl,35a879bd
SYNTH_000120,01eac7e4,2024-06-19 00:00:00,1,anonymous,42a94fdd
SYNTH_000121,f16df8fa,2024-08-18 00:00:00,1,gl,81db6050
SYNTH_000122,40a7a79a,2024-07-17 00:00:00,1,anonymous,7cb0602e
SYNTH_000123,0afb8580,2024-10-30 00:00:00,1,anonymous,ccfae816
SYNTH_000124,c01bf24d,2024-07-21 00:00:00,1,gl,a11cb92d
SYNTH_000125,0fe957ef,2024-08-07 00:00:00,1,anonymous,cd9520cb
SYNTH_000126,b8a098f4,2024-10-27 00:00:00,0,anonymous,f0a7106c
SYNTH_000127,96537555,2024-02-12 00:00:00,1,anonymous,fc4d2ecf
SYNTH_000128,15628d98,2024-07-07 00:00:00,1,anonymous,a8ff949d
SYNTH_000129,9fc59063,2024-11-16 00:00:00,1,anonymous,d13d152b
SYNTH_000130,1a78e9d9,2024-08-27 00:00:00,1,anonymous,c481d5bf
SYNTH_000131,8f4d14b4,2024-09-14 00:00:00,1,anonymous,9cec30c8
SYNTH_000132,4248aa1d,2024-10-15 00:00:00,1,anonymous,2b5274c5
SYNTH_000133,55daea79,2024-07-07 00:00:00,0,anonymous,ba9c9aeb
SYNTH_000134,17041549,2024-08-30 00:00:00,1,gl,070f06f2
SYNTH_000135,bb05e28a,2024-07-20 00:00:00,1,gl,1715f4bd
SYNTH_000136,0de722de,2024-05-20 00:00:00,1,gl,7faf6bb4
SYNTH_000137,b837edf5,2024-10-08 00:00:00,1,anonymous,96eeecd0
SYNTH_000138,7801d9fa,2024-03-29 00:00:00,1,gl,c8a489c6
SYNTH_000139,28682c60,2024-08-13 00:00:00,0,gl,97a97fa2
SYNTH_000140,ade5b8c0,2024-09-16 00:00:00,1,gl,969550c3
SYNTH_000141,6f3f605a,2024-09-03 00:00:00,1,anonymous,cd073e81
SYNTH_000142,8db5f861,2024-09-10 00:00:00,1,gl,677a95a2
SYNTH_000143,3b6b8b01,2024-06-19 00:00:00,1,gl,0cb42074
SYNTH_000144,ee45d9cf,2024-11-22 00:00:00,1,anonymous,df845af4
SYNTH_000145,8aa40de9,2024-10-19 00:00:00,1,gl,76b5b3d3
SYNTH_000146,ef7ef4f9,2024-06-07 00:00:00,1,anonymous,574e8783
SYNTH_000147,1ef5c187,2024-02-28 00:00:00,0,gl,4f8fa52f
SYNTH_000148,57ac6df1,2024-07-29 00:00:00,1,anonymous,bde48f68
SYNTH_000149,0350222a,2024-07-12 00:00:00,1,gl,9908ac87
SYNTH_000150,4b60dcb6,2024-09-25 00:00:00,1,gl,5e1dd7cc
SYNTH_000151,b3431350,2024-03-29 00:00:00,1,gl,d4887519
SYNTH_000152,abd9bc54,2024-07-09 00:00:00,1,gl,217c1d11
SYNTH_000153,15345dc4,2024-08-04 00:00:00,1,gl,0f063b3b
SYNTH_000154,c270f79d,2024-03-28 00:00:00,1,gl,50af0a17
SYNTH_000155,824e2962,2024-07-30 00:00:00,1,anonymous,65cbaaea
SYNTH_000156,e87b501b,2024-11-09 00:00:00,1,anonymous,69eca552
SYNTH_000157,29870b52,2024-12-20 00:00:00,1,anonymous,1daddca1
SYNTH_000158,4341b243,2024-03-17 00:00:00,1,anonymous,19a6a4eb
SYNTH_000159,bdd0d1f0,2024-12-09 00:00:00,0,gl,7d8ac5ec
SYNTH_000160,8b8368d9,2024-10-21 00:00:00,1,gl,1d9b28bf
SYNTH_000161,02b4bd3e,2024-06-16 00:00:00,0,gl,e87d0948
SYNTH_000162,e2e2ecd4,2024-06-28 00:00:00,1,anonymous,336174fb
SYNTH_000163,74f8c234,2024-09-16 00:00:00,0,anonymous,91860489
SYNTH_000164,eb844335,2024-01-21 00:00:00,1,gl,2328f597
SYNTH_000165,b23d47c7,2024-06-28 00:00:00,1,anonymous,178eca5c
SYNTH_000166,c2e0310f,2024-07-05 00:00:00,1,gl,c8ef8be6
SYNTH_000167,f29ab208,2024-03-26 00:00:00,1,anonymous,b01dfef3
SYNTH_000168,173b947c,2024-03-22 00:00:00,1,anonymous,46c71595
SYNTH_000169,60ab242e,2024-09-01 00:00:00,1,anonymous,76e680d8
SYNTH_000170,1d84b1b6,2024-06-08 00:00:00,1,gl,f0e167e9
SYNTH_000171,b70665e7,2024-10-03 00:00:00,1,anonymous,1e2fd048
SYNTH_000172,d3615fc3,2024-03-15 00:00:00,1,anonymous,7dba712c
SYNTH_000173,b02060e1,2024-01-31 00:00:00,0,anonymous,d8431f8f
SYNTH_000174,c188a561,2024-11-07 00:00:00,1,anonymous,e1363384
SYNTH_000175,de929e11,2024-02-02 00:00:00,1,gl,c4fe4141
SYNTH_000176,aba3c17b,2024-07-23 00:00:00,1,gl,5775a027
SYNTH_000177,987d042f,2024-07-30 00:00:00,1,anonymous,3603b0ad
SYNTH_000178,126dbfbb,2024-11-16 00:00:00,1,gl,1f6dff96
SYNTH_000179,4ad5f5a0,2024-11-03 00:00:00,1,gl,51a174fb
SYNTH_000180,aa65af34,2024-11-01 00:00:00,1,anonymous,3d19f48d
SYNTH_000181,4f1621ad,2024-04-07 00:00:00,0,anonymous,dbb743b7
SYNTH_000182,ec0f9728,2024-01-09 00:00:00,1,gl,b0751915
SYNTH_000183,960a1011,2024-03-09 00:00:00,1,anonymous,fa5dfd91
SYNTH_000184,93255877,2024-07-11 00:00:00,1,anonymous,82fd2a2f
SYNTH_000185,afbb8dae,2024-04-13 00:00:00,1,anonymous,920bad37
SYNTH_000186,470a8434,2024-10-01 00:00:00,1,anonymous,e87c74b9
SYNTH_000187,29be0914,2024-02-02 00:00:00,1,anonymous,a45477c8
SYNTH_000188,8d67606d,2024-11-20 00:00:00,1,anonymous,8c9acc1e
SYNTH_000189,3551776c,2024-12-07 00:00:00,0,gl,f940ce7a
SYNTH_000190,82378c8e,2024-11-01 00:00:00,1,gl,7cbf8fd3
SYNTH_000191,40a7a79a,2024-01-01 00:00:00,1,anonymous,9b47db56
SYNTH_000192,79a8372a,2024-01-08 00:00:00,1,gl,2621a6aa
SYNTH_000193,89e5719b,2024-02-09 00:00:00,0,gl,95171c0a
SYNTH_000194,60838d81,2024-01-22 00:00:00,1,gl,8e3f144d
SYNTH_000195,5a8f0cf5,2024-06-06 00:00:00,1,anonymous,41d6b252
SYNTH_000196,4d6169b7,2024-05-22 00:00:00,1,gl,aba541a9
SYNTH_000197,e7324048,2024-02-01 00:00:00,1,gl,f9a65023
SYNTH_000198,d184a19c,2024-05-01 00:00:00,1,gl,4fdb4530
SYNTH_000199,09f5f13e,2024-05-29 00:00:00,1,gl,10817a5b
SYNTH_000200,cb2acacf,2024-08-28 00:00:00,0,gl,27e10983
SYNTH_000201,012b52f2,2024-06-25 00:00:00,1,anonymous,d26b9918
SYNTH_000202,8eacc1a7,2024-08-27 00:00:00,0,gl,75b903b2
SYNTH_000203,712e0b90,2024-09-18 00:00:00,1,gl,52abfa1a
SYNTH_000204,43c140ba,2024-06-09 00:00:00,1,anonymous,a3bc5dac
SYNTH_000205,ea7b47c5,2024-06-16 00:00:00,1,gl,3b980b32
SYNTH_000206,d8ca857f,2024-03-22 00:00:00,1,gl,33379b45
SYNTH_000207,41649372,2024-06-02 00:00:00,0,gl,ae116182
SYNTH_000208,6479cb36,2024-08-15 00:00:00,0,anonymous,d1bb6091
SYNTH_000209,fed5e4f1,2024-11-12 00:00:00,1,gl,9bad16a8
SYNTH_000210,40f4cafa,2024-02-05 00:00:00,1,anonymous,e2d9aa09
SYNTH_000211,4551cb87,2024-02-24 00:00:00,1,anonymous,e7ccd92a
SYNTH_000212,764bc0ed,2024-10-09 00:00:00,0,gl,05c33632
SYNTH_000213,320ce6a9,2024-06-06 00:00:00,1,gl,17a2a616
SYNTH_000214,6d1554bd,2024-06-12 00:00:00,1,gl,61cf8525
SYNTH_000215,0350222a,2024-05-30 00:00:00,1,gl,20dfe76d
SYNTH_000216,ec568f50,2024-01-11 00:00:00,1,gl,7f96608f
SYNTH_000217,d3d82513,2024-08-17 00:00:00,1,anonymous,3d2c9c82
SYNTH_000218,31b19c2a,2024-09-05 00:00:00,1,anonymous,8c4797db
SYNTH_000219,257464c6,2024-01-03 00:00:00,1,gl,e6b51635
SYNTH_000220,2449e41c,2024-01-30 00:00:00,0,anonymous,f145e981
SYNTH_000221,22d4aa67,2024-02-12 00:00:00,1,anonymous,0ad79df8
SYNTH_000222,75c99e3e,2024-04-22 00:00:00,1,gl,648f3d90
SYNTH_000223,a9fb531c,2024-05-23 00:00:00,1,gl,3d9be893
SYNTH_000224,a084866c,2024-06-23 00:00:00,1,gl,5a995ebd
SYNTH_000225,caa374af,2024-01-02 00:00:00,1,anonymous,aefa4847
SYNTH_000226,a74f3370,2024-04-18 00:00:00,0,gl,afb823ba
SYNTH_000227,b785f50a,2024-07-08 00:00:00,1,gl,55c885e6
SYNTH_000228,4fff8024,2024-10-27 00:00:00,1,anonymous,fdbde5f9
SYNTH_000229,39deaa23,2024-05-19 00:00:00,0,gl,76352f00
