respondent_id,user_language,region,department,employment_type,age,is_synthetic,construct_1,construct_2,construct_3,construct_4,construct_5,construct_6,construct_7,construct_8,construct_9,construct_10,construct_11,construct_12,construct_13,construct_14,construct_15,construct_16,construct_17,construct_18,construct_19,construct_20,construct_21,construct_22,construct_23,construct_24,construct_25,construct_26,construct_27,construct_28,construct_29,construct_30,construct_31,construct_32
79a47cdb,9ea02138,124ea26a,7c320737,67c3e777,ae237319,0,3.87,4.41,2.88,4.44,3.54,4.21,4.43,3.65,5.06,4.91,4.31,3.68,4.68,3.9,3.25,4.06,3.22,2.62,5.23,4.09,4.91,3.82,3.13,4.69,4.48,3.99,3.71,4.23,4.17,4.02,5.99,6.76
7ea5981e,9ea02138,124ea26a,a2d4579f,71e1681b,2e1bc97b,0,4.01,4.59,2.93,4.46,3.69,4.18,4.44,3.79,5.21,5.12,4.39,3.83,5.02,4.07,3.42,4.27,3.21,2.66,5.28,4.47,5.02,3.87,3.24,4.74,4.58,4.02,3.84,4.28,4.32,3.98,6.09,6.87
9061ed18,9ea02138,a0aac9cf,10344dc1,8b00d502,30417a67,0,3.98,4.42,2.94,4.4,3.73,4.32,4.55,3.64,5.02,5.01,4.53,3.91,4.91,3.96,3.42,4.28,3.19,2.78,5.36,4.38,4.89,4.0,3.19,4.78,4.51,4.13,3.71,4.21,4.37,4.03,5.92,6.9
91b22859,9ea02138,a0aac9cf,590462,b6f6e770,67fc5b27,0,3.86,4.59,2.97,4.35,3.68,4.1,4.4,3.7,5.2,5.08,4.29,3.79,4.83,4.19,3.35,4.04,3.24,2.59,5.4,4.38,4.9,3.76,3.17,4.89,4.43,4.04,3.59,4.38,4.18,3.89,5.88,6.91
98a96934,9ea02138,032dc16f,76199a51,d1104d1e,dafcfee4,0,4.04,4.49,3.03,4.48,3.63,4.12,4.49,3.69,5.06,4.97,4.64,3.88,4.87,3.85,3.48,4.19,3.29,2.77,5.1,4.37,4.77,3.89,3.22,4.49,4.46,3.96,3.62,4.04,4.45,3.98,5.92,6.71
a1f58ce0,9ea02138,7bdb84c9,f74b48b9,7562212b,6d3dd934,0,3.86,4.86,2.91,4.51,3.62,4.17,4.39,3.78,5.21,5.07,4.29,3.78,4.84,4.12,3.34,4.22,3.18,2.62,5.32,4.3,5.03,3.91,3.23,5.02,4.54,4.0,3.91,4.39,4.23,4.01,6.14,6.92
a2f7ce34,9ea02138,3923bcaf,8e157bab,87417b83,23745490,0,3.82,4.3,2.78,4.35,3.73,4.23,4.39,3.82,5.21,4.9,4.22,3.81,5.02,4.1,3.4,4.12,3.13,2.57,5.37,4.19,4.96,3.78,3.22,4.87,4.23,4.13,3.72,4.31,4.28,4.0,5.75,6.99
b4c1035b,9ea02138,f9b919d0,f60d4f37,d124d616,e61face0,0,4.05,4.42,3.01,4.41,3.78,4.16,4.44,3.83,5.24,4.95,4.34,3.99,5.0,4.23,3.54,4.26,3.29,2.79,5.5,4.3,4.97,3.87,3.35,4.88,4.36,4.07,3.83,4.34,4.45,4.0,5.83,6.82
b8fd5449,9ea02138,e670509c,31e93848,6f70f198,67e5188c,0,3.91,4.76,2.97,4.62,3.82,4.31,4.66,3.84,5.14,5.15,4.51,3.92,4.99,4.08,3.55,4.43,3.23,2.79,5.41,4.61,5.14,4.13,3.21,4.86,4.55,4.1,3.87,4.39,4.55,4.12,5.97,7.03
cc2a2a05,9ea02138,032dc16f,5c7853b0,ea125c96,da78f235,0,3.94,4.86,2.89,4.28,3.48,4.12,4.41,3.53,5.1,4.86,4.18,3.78,4.71,4.05,3.32,4.21,3.16,2.63,5.23,4.28,5.01,3.8,3.25,4.89,4.47,4.05,3.67,4.38,4.3,3.97,5.95,6.75
d3de8ea9,9ea02138,3923bcaf,977b6be7,66e763ac,1e191bd3,0,3.78,4.33,2.81,4.31,3.55,4.25,4.26,3.66,5.0,4.86,4.22,3.61,4.71,3.96,3.36,4.04,3.07,2.64,5.36,4.26,4.94,3.98,3.1,4.72,4.41,4.09,3.71,4.13,4.22,3.87,5.82,6.97
d5ab3ed0,9ea02138,032dc16f,0226d503,2fad5aa3,c2c3376c,0,4.0,4.72,2.93,4.41,3.61,4.11,4.49,3.69,5.13,4.97,4.39,3.9,4.78,3.98,3.51,4.33,3.18,2.77,5.42,4.49,5.16,3.95,3.26,4.83,4.31,4.15,3.77,4.33,4.5,4.05,5.83,6.9
d73ee50d,9ea02138,032dc16f,d9fbb1b2,b9b38fab,942aabb4,0,4.11,4.36,2.89,4.16,3.64,4.12,4.41,3.68,5.13,5.14,4.34,3.93,4.61,4.02,3.23,4.08,3.2,2.62,5.39,4.33,4.91,3.92,3.18,4.61,4.45,4.09,3.51,4.17,4.22,3.95,5.89,6.8
eb1d4031,9ea02138,7bdb84c9,561b146e,a1750e0e,72c3f8b4,0,4.2,4.57,3.01,4.34,3.7,4.3,4.33,3.79,5.28,5.12,4.44,4.04,4.84,4.06,3.54,4.2,3.19,2.78,5.57,4.53,5.09,4.13,3.19,4.89,4.38,4.01,3.71,4.28,4.38,4.04,5.93,6.9
ff953159,9ea02138,59ad37b7,70190dfc,600f587b,f550c919,0,3.86,4.83,2.98,4.57,3.7,4.2,4.4,3.87,5.28,5.16,4.47,3.8,4.86,4.09,3.48,4.09,3.26,2.71,5.3,4.48,5.02,3.91,3.21,4.75,4.43,3.95,3.8,4.29,4.39,4.05,5.99,6.88
